problem_id,domain,category,problem_intent,problem_definition,government_route_condition,innovation_route_condition,hybrid_route_condition
PRB0154,PDS & Food Security,Short Grain Delivery & Substandard Ration Quality,Short Grain Delivery & Substandard Ration Quality Intent,Detailed civic issue under PDS & Food Security: Short Grain Delivery & Substandard Ration Quality.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0155,PDS & Food Security,Delays in Member Addition to Ration Cards,Delays in Member Addition to Ration Cards Intent,Detailed civic issue under PDS & Food Security: Delays in Member Addition to Ration Cards.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0156,Banking & Financial Inclusion,Distant Bank Branches & Non-functional ATMs,Distant Bank Branches & Non-functional ATMs Intent,Detailed civic issue under Banking & Financial Inclusion: Distant Bank Branches & Non-functional ATMs.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0157,Banking & Financial Inclusion,Bank Correspondent (BC) Unavailability,Bank Correspondent (BC) Unavailability Intent,Detailed civic issue under Banking & Financial Inclusion: Bank Correspondent (BC) Unavailability.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0158,Banking & Financial Inclusion,Direct Benefit Transfer (DBT) Account Failure,Direct Benefit Transfer (DBT) Account Failure Intent,Detailed civic issue under Banking & Financial Inclusion: Direct Benefit Transfer (DBT) Account Failure.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0159,Banking & Financial Inclusion,Complex Credit & Agricultural Loan Access,Complex Credit & Agricultural Loan Access Intent,Detailed civic issue under Banking & Financial Inclusion: Complex Credit & Agricultural Loan Access.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0160,"Police, Safety & Emergency",Distant Police Stations & Slow Emergency Response,Distant Police Stations & Slow Emergency Response Intent,"Detailed civic issue under Police, Safety & Emergency: Distant Police Stations & Slow Emergency Response.","Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0161,"Police, Safety & Emergency",Cybercrime Fraud & Financial Phishing,Cybercrime Fraud & Financial Phishing Intent,"Detailed civic issue under Police, Safety & Emergency: Cybercrime Fraud & Financial Phishing.","Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0162,"Police, Safety & Emergency",Traffic Safety Deficit & Accident Blackspots,Traffic Safety Deficit & Accident Blackspots Intent,"Detailed civic issue under Police, Safety & Emergency: Traffic Safety Deficit & Accident Blackspots.","Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0163,Disaster Management,Severe Agricultural Drought & Lightning Casualties,Severe Agricultural Drought & Lightning Casualties Intent,Detailed civic issue under Disaster Management: Severe Agricultural Drought & Lightning Casualties.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0164,Disaster Management,Flash Floods & Monsoon River Submergence,Flash Floods & Monsoon River Submergence Intent,Detailed civic issue under Disaster Management: Flash Floods & Monsoon River Submergence.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0165,Disaster Management,Lack of Early Warning Sirens & Disaster Shelters,Lack of Early Warning Sirens & Disaster Shelters Intent,Detailed civic issue under Disaster Management: Lack of Early Warning Sirens & Disaster Shelters.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0166,Urban Infrastructure & Local Body,Urban Traffic Congestion & Parking Chaos,Urban Traffic Congestion & Parking Chaos Intent,Detailed civic issue under Urban Infrastructure & Local Body: Urban Traffic Congestion & Parking Chaos.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0167,Urban Infrastructure & Local Body,Choked Urban Drainage & Monsoon Waterlogging,Choked Urban Drainage & Monsoon Waterlogging Intent,Detailed civic issue under Urban Infrastructure & Local Body: Choked Urban Drainage & Monsoon Waterlogging.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0168,Urban Infrastructure & Local Body,Uncollected City Solid Waste & Open Burning,Uncollected City Solid Waste & Open Burning Intent,Detailed civic issue under Urban Infrastructure & Local Body: Uncollected City Solid Waste & Open Burning.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0169,Urban Infrastructure & Local Body,Low Urban Piped Water Coverage & Low Pressure,Low Urban Piped Water Coverage & Low Pressure Intent,Detailed civic issue under Urban Infrastructure & Local Body: Low Urban Piped Water Coverage & Low Pressure.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0170,Rural Governance & Panchayats,Low Gram Sabha Attendance & Inadequate Planning,Low Gram Sabha Attendance & Inadequate Planning Intent,Detailed civic issue under Rural Governance & Panchayats: Low Gram Sabha Attendance & Inadequate Planning.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0171,Rural Governance & Panchayats,Panchayat Bhavan Infrastructure Damage & No Internet,Panchayat Bhavan Infrastructure Damage & No Internet Intent,Detailed civic issue under Rural Governance & Panchayats: Panchayat Bhavan Infrastructure Damage & No Internet.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0172,Rural Governance & Panchayats,Delayed Fund Utilization & Social Audit Deficit,Delayed Fund Utilization & Social Audit Deficit Intent,Detailed civic issue under Rural Governance & Panchayats: Delayed Fund Utilization & Social Audit Deficit.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0173,"Land, Revenue & Mutation",Incorrect Land Records & Mutation Delays,Incorrect Land Records & Mutation Delays Intent,"Detailed civic issue under Land, Revenue & Mutation: Incorrect Land Records & Mutation Delays.","Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0174,"Land, Revenue & Mutation",Land Boundary & Inheritance Disputes,Land Boundary & Inheritance Disputes Intent,"Detailed civic issue under Land, Revenue & Mutation: Land Boundary & Inheritance Disputes.","Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0175,"Land, Revenue & Mutation","Delays in Caste, Income & Residence Certificates","Delays in Caste, Income & Residence Certificates Intent","Detailed civic issue under Land, Revenue & Mutation: Delays in Caste, Income & Residence Certificates.","Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0176,"Industry, MSME & Startups",Lack of Local Industrial Jobs & MSME Credit,Lack of Local Industrial Jobs & MSME Credit Intent,"Detailed civic issue under Industry, MSME & Startups: Lack of Local Industrial Jobs & MSME Credit.","Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0177,"Industry, MSME & Startups",High Industrial Power Costs & Compliance Burdens,High Industrial Power Costs & Compliance Burdens Intent,"Detailed civic issue under Industry, MSME & Startups: High Industrial Power Costs & Compliance Burdens.","Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0178,"Industry, MSME & Startups",Weak Startup Incubation & Prototyping Support,Weak Startup Incubation & Prototyping Support Intent,"Detailed civic issue under Industry, MSME & Startups: Weak Startup Incubation & Prototyping Support.","Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0179,Tourism & Heritage,Poor Access Roads & Signage to Tourist Spots,Poor Access Roads & Signage to Tourist Spots Intent,Detailed civic issue under Tourism & Heritage: Poor Access Roads & Signage to Tourist Spots.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0180,Tourism & Heritage,Lack of Sanitation & Visitor Amenities at Waterfalls,Lack of Sanitation & Visitor Amenities at Waterfalls Intent,Detailed civic issue under Tourism & Heritage: Lack of Sanitation & Visitor Amenities at Waterfalls.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0181,Tourism & Heritage,Unmaintained Historical Monuments & Heritage Sites,Unmaintained Historical Monuments & Heritage Sites Intent,Detailed civic issue under Tourism & Heritage: Unmaintained Historical Monuments & Heritage Sites.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0182,Animal Husbandry & Dairy,Distant Veterinary Hospitals & Vaccine Shortage,Distant Veterinary Hospitals & Vaccine Shortage Intent,Detailed civic issue under Animal Husbandry & Dairy: Distant Veterinary Hospitals & Vaccine Shortage.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0183,Animal Husbandry & Dairy,High Cattle Feed Costs & Lack of Milk Chilling Units,High Cattle Feed Costs & Lack of Milk Chilling Units Intent,Detailed civic issue under Animal Husbandry & Dairy: High Cattle Feed Costs & Lack of Milk Chilling Units.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0184,Animal Husbandry & Dairy,Poultry & Goat Disease Outbreaks,Poultry & Goat Disease Outbreaks Intent,Detailed civic issue under Animal Husbandry & Dairy: Poultry & Goat Disease Outbreaks.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0185,Fishery & Aquaculture,Lack of Quality Fish Seed & High Feed Costs,Lack of Quality Fish Seed & High Feed Costs Intent,Detailed civic issue under Fishery & Aquaculture: Lack of Quality Fish Seed & High Feed Costs.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0186,Fishery & Aquaculture,Fish Pond Water Contamination & Disease,Fish Pond Water Contamination & Disease Intent,Detailed civic issue under Fishery & Aquaculture: Fish Pond Water Contamination & Disease.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0187,Fishery & Aquaculture,Lack of Cold Chain Transport for Fish Farmers,Lack of Cold Chain Transport for Fish Farmers Intent,Detailed civic issue under Fishery & Aquaculture: Lack of Cold Chain Transport for Fish Farmers.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0188,Energy Innovation & Microgrids,Faulty Solar Irrigation Pumps & Battery Failure,Faulty Solar Irrigation Pumps & Battery Failure Intent,Detailed civic issue under Energy Innovation & Microgrids: Faulty Solar Irrigation Pumps & Battery Failure.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0189,Energy Innovation & Microgrids,Unmaintained Off-Grid Solar Mini-Grids,Unmaintained Off-Grid Solar Mini-Grids Intent,Detailed civic issue under Energy Innovation & Microgrids: Unmaintained Off-Grid Solar Mini-Grids.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0190,Energy Innovation & Microgrids,Biomass Waste Utilization Deficit,Biomass Waste Utilization Deficit Intent,Detailed civic issue under Energy Innovation & Microgrids: Biomass Waste Utilization Deficit.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0191,"Digital Governance, AI & Micro Problems",Individual Broken Streetlight #17 Near School,Individual Broken Streetlight #17 Near School Intent,"Detailed civic issue under Digital Governance, AI & Micro Problems: Individual Broken Streetlight #17 Near School.","Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0192,"Digital Governance, AI & Micro Problems",Single Broken Handpump Handle at Panchayat Ward 2,Single Broken Handpump Handle at Panchayat Ward 2 Intent,"Detailed civic issue under Digital Governance, AI & Micro Problems: Single Broken Handpump Handle at Panchayat Ward 2.","Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0193,"Digital Governance, AI & Micro Problems",Classroom Fan & Light Switch Box Burnt,Classroom Fan & Light Switch Box Burnt Intent,"Detailed civic issue under Digital Governance, AI & Micro Problems: Classroom Fan & Light Switch Box Burnt.","Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0194,"Digital Governance, AI & Micro Problems",Single Choked Drain Culvert Causing Overflow,Single Choked Drain Culvert Causing Overflow Intent,"Detailed civic issue under Digital Governance, AI & Micro Problems: Single Choked Drain Culvert Causing Overflow.","Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0195,"Digital Governance, AI & Micro Problems",Biometric Scanner Error at Village CSC Kiosk,Biometric Scanner Error at Village CSC Kiosk Intent,"Detailed civic issue under Digital Governance, AI & Micro Problems: Biometric Scanner Error at Village CSC Kiosk.","Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0196,"Digital Governance, AI & Micro Problems",Mobile Signal Available at Only One Specific Hilltop,Mobile Signal Available at Only One Specific Hilltop Intent,"Detailed civic issue under Digital Governance, AI & Micro Problems: Mobile Signal Available at Only One Specific Hilltop.","Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0197,"Digital Governance, AI & Micro Problems",PHC Medicine Stockout of Anti-Venom Vials,PHC Medicine Stockout of Anti-Venom Vials Intent,"Detailed civic issue under Digital Governance, AI & Micro Problems: PHC Medicine Stockout of Anti-Venom Vials.","Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0198,"Digital Governance, AI & Micro Problems",Single Burnt Pole Fuse Causing Street Power Drop,Single Burnt Pole Fuse Causing Street Power Drop Intent,"Detailed civic issue under Digital Governance, AI & Micro Problems: Single Burnt Pole Fuse Causing Street Power Drop.","Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
