complaint_id,complaint_text,domain,category,route,severity,recurrence,innovation_required,innovation_area,affected_population,government_level,department,problem_type,solution_type
SS02423,University student startup project required for lack of local industrial & manufacturing units technological innovation.,Employment & Livelihood,Lack of Local Industrial & Manufacturing Units,Innovation,Low,Occasional,Yes,Smart Civic Infrastructure & Sensor Analytics,450,Panchayat Level,Employment Department,Service Delivery,University R&D
SS02424,Abhi तुरंत department emergency team bheje for lack of local industrial & manufacturing units aur future ke liye early warning technology setup karein.,Employment & Livelihood,Lack of Local Industrial & Manufacturing Units,Hybrid,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,1200,District Level (DC Office),Employment Department,Service Delivery,Govt Action + University R&D
SS02425,Har monsoon/season lack of local industrial & manufacturing units me ye issue hota hai. Immediate repair along with long-term technological innovation.,Employment & Livelihood,Lack of Local Industrial & Manufacturing Units,Hybrid,High,Persistent,Yes,Smart Civic Infrastructure & Sensor Analytics,450,State Department,Employment Department,Service Delivery,Govt Action + University R&D
SS02426,प्रशासन से तुरंत lack of local industrial & manufacturing units के लिए सहायता भेजी जाए तथा भविष्य के लिए आधुनिक डिजिटल मॉडल विकसित किया जाए।,Employment & Livelihood,Lack of Local Industrial & Manufacturing Units,Hybrid,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,150,Block Level (BDO),Employment Department,Service Delivery,Govt Action + University R&D
SS02427,urgent govt inspection today for lack of local industrial & manufacturing units n smart AI tech for future plzz,Employment & Livelihood,Lack of Local Industrial & Manufacturing Units,Hybrid,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,150,Block Level (BDO),Employment Department,Service Delivery,Govt Action + University R&D
SS02428,"Skill Training & Market Demand Mismatch in our village area is completely non-functional, urgent government action required.",Employment & Livelihood,Skill Training & Market Demand Mismatch,Government,High,Persistent,No,None,150,State Department,Employment Department,Service Delivery,Repair / Staff Posting
SS02429,"Pichle 15 din se skill training & market demand mismatch ka dikkat ho raha hai, authority field team ko bheje.",Employment & Livelihood,Skill Training & Market Demand Mismatch,Government,High,Occasional,No,None,450,District Level (DC Office),Employment Department,Service Delivery,Repair / Staff Posting
SS02430,हमारे पंचायत में skill training & market demand mismatch से संबंधित समस्या पर कई हफ्तों से कोई संज्ञान नहीं लिया गया।,Employment & Livelihood,Skill Training & Market Demand Mismatch,Government,Medium,Persistent,No,None,3500,District Level (DC Office),Employment Department,Service Delivery,Repair / Staff Posting
SS02431,skill training & market demand mismatch issue in ward 3 officer not picking up calls,Employment & Livelihood,Skill Training & Market Demand Mismatch,Government,Low,Occasional,No,None,3500,District Level (DC Office),Employment Department,Service Delivery,Repair / Staff Posting
SS02432,gaov me skill training & market demand mismatch kharab h 2 mahine se koi sunne wala nahi h,Employment & Livelihood,Skill Training & Market Demand Mismatch,Government,Medium,Occasional,No,None,3500,Panchayat Level,Employment Department,Service Delivery,Repair / Staff Posting
SS02433,Block level grievance filed for skill training & market demand mismatch last month but service is pending.,Employment & Livelihood,Skill Training & Market Demand Mismatch,Government,Low,One-time,No,None,1200,Panchayat Level,Employment Department,Service Delivery,Repair / Staff Posting
SS02434,Urgent maintenance team required for skill training & market demand mismatch near village center.,Employment & Livelihood,Skill Training & Market Demand Mismatch,Government,High,One-time,No,None,450,Panchayat Level,Employment Department,Service Delivery,Repair / Staff Posting
SS02435,Public facility for skill training & market demand mismatch has been completely unmaintained for 3 months.,Employment & Livelihood,Skill Training & Market Demand Mismatch,Government,Low,Persistent,No,None,1200,State Department,Employment Department,Service Delivery,Repair / Staff Posting
SS02436,Gaon me skill training & market demand mismatch work left incomplete by local contractor.,Employment & Livelihood,Skill Training & Market Demand Mismatch,Government,Medium,Occasional,No,None,150,State Department,Employment Department,Service Delivery,Repair / Staff Posting
SS02437,"ग्राम पंचायत में skill training & market demand mismatch की स्थिति अत्यंत खराब है, अधिकारी संज्ञान लें।",Employment & Livelihood,Skill Training & Market Demand Mismatch,Government,Medium,Persistent,No,None,450,Block Level (BDO),Employment Department,Service Delivery,Repair / Staff Posting
SS02438,We need an automated digital technology system for skill training & market demand mismatch (smart civic infrastructure & sensor analytics) to monitor continuously.,Employment & Livelihood,Skill Training & Market Demand Mismatch,Innovation,Medium,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,1200,State Department,Employment Department,Service Delivery,University R&D
SS02439,Is skill training & market demand mismatch problem ko permanently solve karne ke liye low-cost IoT sensor prototype R&D chahiye.,Employment & Livelihood,Skill Training & Market Demand Mismatch,Innovation,Medium,Occasional,Yes,Smart Civic Infrastructure & Sensor Analytics,150,Panchayat Level,Employment Department,Service Delivery,University R&D
SS02440,नवीनतम तकनीक और एआई मॉडल के माध्यम से skill training & market demand mismatch का स्वचालित समाधान किया जाना चाहिए।,Employment & Livelihood,Skill Training & Market Demand Mismatch,Innovation,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,450,State Department,Employment Department,Service Delivery,University R&D
SS02441,need AI and IoT smart technology solution for skill training & market demand mismatch,Employment & Livelihood,Skill Training & Market Demand Mismatch,Innovation,Low,One-time,Yes,Smart Civic Infrastructure & Sensor Analytics,3500,Block Level (BDO),Employment Department,Service Delivery,University R&D
SS02442,Developing an offline smart system for skill training & market demand mismatch will eliminate manual delays.,Employment & Livelihood,Skill Training & Market Demand Mismatch,Innovation,Medium,Occasional,Yes,Smart Civic Infrastructure & Sensor Analytics,150,Block Level (BDO),Employment Department,Service Delivery,University R&D
SS02443,University student startup project required for skill training & market demand mismatch technological innovation.,Employment & Livelihood,Skill Training & Market Demand Mismatch,Innovation,Low,Occasional,Yes,Smart Civic Infrastructure & Sensor Analytics,3500,Panchayat Level,Employment Department,Service Delivery,University R&D
SS02444,Abhi तुरंत department emergency team bheje for skill training & market demand mismatch aur future ke liye early warning technology setup karein.,Employment & Livelihood,Skill Training & Market Demand Mismatch,Hybrid,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,8500,Block Level (BDO),Employment Department,Service Delivery,Govt Action + University R&D
SS02445,Har monsoon/season skill training & market demand mismatch me ye issue hota hai. Immediate repair along with long-term technological innovation.,Employment & Livelihood,Skill Training & Market Demand Mismatch,Hybrid,High,Persistent,Yes,Smart Civic Infrastructure & Sensor Analytics,3500,State Department,Employment Department,Service Delivery,Govt Action + University R&D
SS02446,प्रशासन से तुरंत skill training & market demand mismatch के लिए सहायता भेजी जाए तथा भविष्य के लिए आधुनिक डिजिटल मॉडल विकसित किया जाए।,Employment & Livelihood,Skill Training & Market Demand Mismatch,Hybrid,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,1200,District Level (DC Office),Employment Department,Service Delivery,Govt Action + University R&D
SS02447,urgent govt inspection today for skill training & market demand mismatch n smart AI tech for future plzz,Employment & Livelihood,Skill Training & Market Demand Mismatch,Hybrid,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,450,Panchayat Level,Employment Department,Service Delivery,Govt Action + University R&D
SS02448,"Lack of Entrepreneurship & MSME Credit Access in our village area is completely non-functional, urgent government action required.",Employment & Livelihood,Lack of Entrepreneurship & MSME Credit Access,Government,High,Persistent,No,None,8500,Panchayat Level,Employment Department,Service Delivery,Repair / Staff Posting
SS02449,"Pichle 15 din se lack of entrepreneurship & msme credit access ka dikkat ho raha hai, authority field team ko bheje.",Employment & Livelihood,Lack of Entrepreneurship & MSME Credit Access,Government,High,Occasional,No,None,1200,State Department,Employment Department,Service Delivery,Repair / Staff Posting
SS02450,हमारे पंचायत में lack of entrepreneurship & msme credit access से संबंधित समस्या पर कई हफ्तों से कोई संज्ञान नहीं लिया गया।,Employment & Livelihood,Lack of Entrepreneurship & MSME Credit Access,Government,Medium,Persistent,No,None,1200,Block Level (BDO),Employment Department,Service Delivery,Repair / Staff Posting
SS02451,lack of entrepreneurship & msme credit access issue in ward 3 officer not picking up calls,Employment & Livelihood,Lack of Entrepreneurship & MSME Credit Access,Government,Low,Occasional,No,None,1200,Panchayat Level,Employment Department,Service Delivery,Repair / Staff Posting
SS02452,gaov me lack of entrepreneurship & msme credit access kharab h 2 mahine se koi sunne wala nahi h,Employment & Livelihood,Lack of Entrepreneurship & MSME Credit Access,Government,Medium,Occasional,No,None,450,Panchayat Level,Employment Department,Service Delivery,Repair / Staff Posting
SS02453,Block level grievance filed for lack of entrepreneurship & msme credit access last month but service is pending.,Employment & Livelihood,Lack of Entrepreneurship & MSME Credit Access,Government,Low,One-time,No,None,450,State Department,Employment Department,Service Delivery,Repair / Staff Posting
SS02454,Urgent maintenance team required for lack of entrepreneurship & msme credit access near village center.,Employment & Livelihood,Lack of Entrepreneurship & MSME Credit Access,Government,High,One-time,No,None,1200,Panchayat Level,Employment Department,Service Delivery,Repair / Staff Posting
SS02455,Public facility for lack of entrepreneurship & msme credit access has been completely unmaintained for 3 months.,Employment & Livelihood,Lack of Entrepreneurship & MSME Credit Access,Government,Low,Persistent,No,None,450,District Level (DC Office),Employment Department,Service Delivery,Repair / Staff Posting
SS02456,Gaon me lack of entrepreneurship & msme credit access work left incomplete by local contractor.,Employment & Livelihood,Lack of Entrepreneurship & MSME Credit Access,Government,Medium,Occasional,No,None,8500,Panchayat Level,Employment Department,Service Delivery,Repair / Staff Posting
SS02457,"ग्राम पंचायत में lack of entrepreneurship & msme credit access की स्थिति अत्यंत खराब है, अधिकारी संज्ञान लें।",Employment & Livelihood,Lack of Entrepreneurship & MSME Credit Access,Government,Medium,Persistent,No,None,3500,Block Level (BDO),Employment Department,Service Delivery,Repair / Staff Posting
SS02458,We need an automated digital technology system for lack of entrepreneurship & msme credit access (smart civic infrastructure & sensor analytics) to monitor continuously.,Employment & Livelihood,Lack of Entrepreneurship & MSME Credit Access,Innovation,Medium,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,150,Panchayat Level,Employment Department,Service Delivery,University R&D
SS02459,Is lack of entrepreneurship & msme credit access problem ko permanently solve karne ke liye low-cost IoT sensor prototype R&D chahiye.,Employment & Livelihood,Lack of Entrepreneurship & MSME Credit Access,Innovation,Medium,Occasional,Yes,Smart Civic Infrastructure & Sensor Analytics,8500,State Department,Employment Department,Service Delivery,University R&D
SS02460,नवीनतम तकनीक और एआई मॉडल के माध्यम से lack of entrepreneurship & msme credit access का स्वचालित समाधान किया जाना चाहिए।,Employment & Livelihood,Lack of Entrepreneurship & MSME Credit Access,Innovation,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,8500,Block Level (BDO),Employment Department,Service Delivery,University R&D
SS02461,need AI and IoT smart technology solution for lack of entrepreneurship & msme credit access,Employment & Livelihood,Lack of Entrepreneurship & MSME Credit Access,Innovation,Low,One-time,Yes,Smart Civic Infrastructure & Sensor Analytics,1200,Panchayat Level,Employment Department,Service Delivery,University R&D
SS02462,Developing an offline smart system for lack of entrepreneurship & msme credit access will eliminate manual delays.,Employment & Livelihood,Lack of Entrepreneurship & MSME Credit Access,Innovation,Medium,Occasional,Yes,Smart Civic Infrastructure & Sensor Analytics,450,Block Level (BDO),Employment Department,Service Delivery,University R&D
SS02463,University student startup project required for lack of entrepreneurship & msme credit access technological innovation.,Employment & Livelihood,Lack of Entrepreneurship & MSME Credit Access,Innovation,Low,Occasional,Yes,Smart Civic Infrastructure & Sensor Analytics,3500,Panchayat Level,Employment Department,Service Delivery,University R&D
SS02464,Abhi तुरंत department emergency team bheje for lack of entrepreneurship & msme credit access aur future ke liye early warning technology setup karein.,Employment & Livelihood,Lack of Entrepreneurship & MSME Credit Access,Hybrid,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,8500,District Level (DC Office),Employment Department,Service Delivery,Govt Action + University R&D
SS02465,Har monsoon/season lack of entrepreneurship & msme credit access me ye issue hota hai. Immediate repair along with long-term technological innovation.,Employment & Livelihood,Lack of Entrepreneurship & MSME Credit Access,Hybrid,High,Persistent,Yes,Smart Civic Infrastructure & Sensor Analytics,150,Panchayat Level,Employment Department,Service Delivery,Govt Action + University R&D
SS02466,प्रशासन से तुरंत lack of entrepreneurship & msme credit access के लिए सहायता भेजी जाए तथा भविष्य के लिए आधुनिक डिजिटल मॉडल विकसित किया जाए।,Employment & Livelihood,Lack of Entrepreneurship & MSME Credit Access,Hybrid,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,1200,Block Level (BDO),Employment Department,Service Delivery,Govt Action + University R&D
SS02467,urgent govt inspection today for lack of entrepreneurship & msme credit access n smart AI tech for future plzz,Employment & Livelihood,Lack of Entrepreneurship & MSME Credit Access,Hybrid,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,8500,Panchayat Level,Employment Department,Service Delivery,Govt Action + University R&D
SS02468,"Distress Migration Due to Drought & Job Scarcity in our village area is completely non-functional, urgent government action required.",Migration & Migrant Welfare,Distress Migration Due to Drought & Job Scarcity,Government,High,Persistent,No,None,450,State Department,Migration Department,Service Delivery,Repair / Staff Posting
SS02469,"Pichle 15 din se distress migration due to drought & job scarcity ka dikkat ho raha hai, authority field team ko bheje.",Migration & Migrant Welfare,Distress Migration Due to Drought & Job Scarcity,Government,High,Occasional,No,None,450,District Level (DC Office),Migration Department,Service Delivery,Repair / Staff Posting
SS02470,हमारे पंचायत में distress migration due to drought & job scarcity से संबंधित समस्या पर कई हफ्तों से कोई संज्ञान नहीं लिया गया।,Migration & Migrant Welfare,Distress Migration Due to Drought & Job Scarcity,Government,Medium,Persistent,No,None,8500,District Level (DC Office),Migration Department,Service Delivery,Repair / Staff Posting
SS02471,distress migration due to drought & job scarcity issue in ward 3 officer not picking up calls,Migration & Migrant Welfare,Distress Migration Due to Drought & Job Scarcity,Government,Low,Occasional,No,None,3500,Block Level (BDO),Migration Department,Service Delivery,Repair / Staff Posting
SS02472,gaov me distress migration due to drought & job scarcity kharab h 2 mahine se koi sunne wala nahi h,Migration & Migrant Welfare,Distress Migration Due to Drought & Job Scarcity,Government,Medium,Occasional,No,None,150,State Department,Migration Department,Service Delivery,Repair / Staff Posting
SS02473,Block level grievance filed for distress migration due to drought & job scarcity last month but service is pending.,Migration & Migrant Welfare,Distress Migration Due to Drought & Job Scarcity,Government,Low,One-time,No,None,1200,Block Level (BDO),Migration Department,Service Delivery,Repair / Staff Posting
SS02474,Urgent maintenance team required for distress migration due to drought & job scarcity near village center.,Migration & Migrant Welfare,Distress Migration Due to Drought & Job Scarcity,Government,High,One-time,No,None,1200,Panchayat Level,Migration Department,Service Delivery,Repair / Staff Posting
SS02475,Public facility for distress migration due to drought & job scarcity has been completely unmaintained for 3 months.,Migration & Migrant Welfare,Distress Migration Due to Drought & Job Scarcity,Government,Low,Persistent,No,None,3500,State Department,Migration Department,Service Delivery,Repair / Staff Posting
SS02476,Gaon me distress migration due to drought & job scarcity work left incomplete by local contractor.,Migration & Migrant Welfare,Distress Migration Due to Drought & Job Scarcity,Government,Medium,Occasional,No,None,8500,District Level (DC Office),Migration Department,Service Delivery,Repair / Staff Posting
SS02477,"ग्राम पंचायत में distress migration due to drought & job scarcity की स्थिति अत्यंत खराब है, अधिकारी संज्ञान लें।",Migration & Migrant Welfare,Distress Migration Due to Drought & Job Scarcity,Government,Medium,Persistent,No,None,8500,State Department,Migration Department,Service Delivery,Repair / Staff Posting
SS02478,We need an automated digital technology system for distress migration due to drought & job scarcity (smart civic infrastructure & sensor analytics) to monitor continuously.,Migration & Migrant Welfare,Distress Migration Due to Drought & Job Scarcity,Innovation,Medium,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,450,Block Level (BDO),Migration Department,Service Delivery,University R&D
SS02479,Is distress migration due to drought & job scarcity problem ko permanently solve karne ke liye low-cost IoT sensor prototype R&D chahiye.,Migration & Migrant Welfare,Distress Migration Due to Drought & Job Scarcity,Innovation,Medium,Occasional,Yes,Smart Civic Infrastructure & Sensor Analytics,8500,District Level (DC Office),Migration Department,Service Delivery,University R&D
SS02480,नवीनतम तकनीक और एआई मॉडल के माध्यम से distress migration due to drought & job scarcity का स्वचालित समाधान किया जाना चाहिए।,Migration & Migrant Welfare,Distress Migration Due to Drought & Job Scarcity,Innovation,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,1200,State Department,Migration Department,Service Delivery,University R&D
SS02481,need AI and IoT smart technology solution for distress migration due to drought & job scarcity,Migration & Migrant Welfare,Distress Migration Due to Drought & Job Scarcity,Innovation,Low,One-time,Yes,Smart Civic Infrastructure & Sensor Analytics,1200,Block Level (BDO),Migration Department,Service Delivery,University R&D
SS02482,Developing an offline smart system for distress migration due to drought & job scarcity will eliminate manual delays.,Migration & Migrant Welfare,Distress Migration Due to Drought & Job Scarcity,Innovation,Medium,Occasional,Yes,Smart Civic Infrastructure & Sensor Analytics,150,Block Level (BDO),Migration Department,Service Delivery,University R&D
SS02483,University student startup project required for distress migration due to drought & job scarcity technological innovation.,Migration & Migrant Welfare,Distress Migration Due to Drought & Job Scarcity,Innovation,Low,Occasional,Yes,Smart Civic Infrastructure & Sensor Analytics,3500,District Level (DC Office),Migration Department,Service Delivery,University R&D
SS02484,Abhi तुरंत department emergency team bheje for distress migration due to drought & job scarcity aur future ke liye early warning technology setup karein.,Migration & Migrant Welfare,Distress Migration Due to Drought & Job Scarcity,Hybrid,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,1200,District Level (DC Office),Migration Department,Service Delivery,Govt Action + University R&D
SS02485,Har monsoon/season distress migration due to drought & job scarcity me ye issue hota hai. Immediate repair along with long-term technological innovation.,Migration & Migrant Welfare,Distress Migration Due to Drought & Job Scarcity,Hybrid,High,Persistent,Yes,Smart Civic Infrastructure & Sensor Analytics,3500,Panchayat Level,Migration Department,Service Delivery,Govt Action + University R&D
SS02486,प्रशासन से तुरंत distress migration due to drought & job scarcity के लिए सहायता भेजी जाए तथा भविष्य के लिए आधुनिक डिजिटल मॉडल विकसित किया जाए।,Migration & Migrant Welfare,Distress Migration Due to Drought & Job Scarcity,Hybrid,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,8500,State Department,Migration Department,Service Delivery,Govt Action + University R&D
SS02487,urgent govt inspection today for distress migration due to drought & job scarcity n smart AI tech for future plzz,Migration & Migrant Welfare,Distress Migration Due to Drought & Job Scarcity,Hybrid,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,450,Panchayat Level,Migration Department,Service Delivery,Govt Action + University R&D
SS02488,"Unsafe Accommodation & Delayed Migrant Wages in our village area is completely non-functional, urgent government action required.",Migration & Migrant Welfare,Unsafe Accommodation & Delayed Migrant Wages,Government,High,Persistent,No,None,8500,District Level (DC Office),Migration Department,Service Delivery,Repair / Staff Posting
SS02489,"Pichle 15 din se unsafe accommodation & delayed migrant wages ka dikkat ho raha hai, authority field team ko bheje.",Migration & Migrant Welfare,Unsafe Accommodation & Delayed Migrant Wages,Government,High,Occasional,No,None,8500,Block Level (BDO),Migration Department,Service Delivery,Repair / Staff Posting
SS02490,हमारे पंचायत में unsafe accommodation & delayed migrant wages से संबंधित समस्या पर कई हफ्तों से कोई संज्ञान नहीं लिया गया।,Migration & Migrant Welfare,Unsafe Accommodation & Delayed Migrant Wages,Government,Medium,Persistent,No,None,1200,Panchayat Level,Migration Department,Service Delivery,Repair / Staff Posting
SS02491,unsafe accommodation & delayed migrant wages issue in ward 3 officer not picking up calls,Migration & Migrant Welfare,Unsafe Accommodation & Delayed Migrant Wages,Government,Low,Occasional,No,None,8500,State Department,Migration Department,Service Delivery,Repair / Staff Posting
SS02492,gaov me unsafe accommodation & delayed migrant wages kharab h 2 mahine se koi sunne wala nahi h,Migration & Migrant Welfare,Unsafe Accommodation & Delayed Migrant Wages,Government,Medium,Occasional,No,None,450,State Department,Migration Department,Service Delivery,Repair / Staff Posting
SS02493,Block level grievance filed for unsafe accommodation & delayed migrant wages last month but service is pending.,Migration & Migrant Welfare,Unsafe Accommodation & Delayed Migrant Wages,Government,Low,One-time,No,None,8500,Block Level (BDO),Migration Department,Service Delivery,Repair / Staff Posting
SS02494,Urgent maintenance team required for unsafe accommodation & delayed migrant wages near village center.,Migration & Migrant Welfare,Unsafe Accommodation & Delayed Migrant Wages,Government,High,One-time,No,None,8500,District Level (DC Office),Migration Department,Service Delivery,Repair / Staff Posting
SS02495,Public facility for unsafe accommodation & delayed migrant wages has been completely unmaintained for 3 months.,Migration & Migrant Welfare,Unsafe Accommodation & Delayed Migrant Wages,Government,Low,Persistent,No,None,1200,State Department,Migration Department,Service Delivery,Repair / Staff Posting
SS02496,Gaon me unsafe accommodation & delayed migrant wages work left incomplete by local contractor.,Migration & Migrant Welfare,Unsafe Accommodation & Delayed Migrant Wages,Government,Medium,Occasional,No,None,1200,Panchayat Level,Migration Department,Service Delivery,Repair / Staff Posting
SS02497,"ग्राम पंचायत में unsafe accommodation & delayed migrant wages की स्थिति अत्यंत खराब है, अधिकारी संज्ञान लें।",Migration & Migrant Welfare,Unsafe Accommodation & Delayed Migrant Wages,Government,Medium,Persistent,No,None,150,Panchayat Level,Migration Department,Service Delivery,Repair / Staff Posting
SS02498,We need an automated digital technology system for unsafe accommodation & delayed migrant wages (smart civic infrastructure & sensor analytics) to monitor continuously.,Migration & Migrant Welfare,Unsafe Accommodation & Delayed Migrant Wages,Innovation,Medium,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,150,Block Level (BDO),Migration Department,Service Delivery,University R&D
SS02499,Is unsafe accommodation & delayed migrant wages problem ko permanently solve karne ke liye low-cost IoT sensor prototype R&D chahiye.,Migration & Migrant Welfare,Unsafe Accommodation & Delayed Migrant Wages,Innovation,Medium,Occasional,Yes,Smart Civic Infrastructure & Sensor Analytics,450,Panchayat Level,Migration Department,Service Delivery,University R&D
SS02500,नवीनतम तकनीक और एआई मॉडल के माध्यम से unsafe accommodation & delayed migrant wages का स्वचालित समाधान किया जाना चाहिए।,Migration & Migrant Welfare,Unsafe Accommodation & Delayed Migrant Wages,Innovation,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,450,Panchayat Level,Migration Department,Service Delivery,University R&D
SS02501,need AI and IoT smart technology solution for unsafe accommodation & delayed migrant wages,Migration & Migrant Welfare,Unsafe Accommodation & Delayed Migrant Wages,Innovation,Low,One-time,Yes,Smart Civic Infrastructure & Sensor Analytics,3500,Block Level (BDO),Migration Department,Service Delivery,University R&D
SS02502,Developing an offline smart system for unsafe accommodation & delayed migrant wages will eliminate manual delays.,Migration & Migrant Welfare,Unsafe Accommodation & Delayed Migrant Wages,Innovation,Medium,Occasional,Yes,Smart Civic Infrastructure & Sensor Analytics,150,Panchayat Level,Migration Department,Service Delivery,University R&D
SS02503,University student startup project required for unsafe accommodation & delayed migrant wages technological innovation.,Migration & Migrant Welfare,Unsafe Accommodation & Delayed Migrant Wages,Innovation,Low,Occasional,Yes,Smart Civic Infrastructure & Sensor Analytics,8500,State Department,Migration Department,Service Delivery,University R&D
SS02504,Abhi तुरंत department emergency team bheje for unsafe accommodation & delayed migrant wages aur future ke liye early warning technology setup karein.,Migration & Migrant Welfare,Unsafe Accommodation & Delayed Migrant Wages,Hybrid,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,3500,District Level (DC Office),Migration Department,Service Delivery,Govt Action + University R&D
SS02505,Har monsoon/season unsafe accommodation & delayed migrant wages me ye issue hota hai. Immediate repair along with long-term technological innovation.,Migration & Migrant Welfare,Unsafe Accommodation & Delayed Migrant Wages,Hybrid,High,Persistent,Yes,Smart Civic Infrastructure & Sensor Analytics,150,District Level (DC Office),Migration Department,Service Delivery,Govt Action + University R&D
SS02506,प्रशासन से तुरंत unsafe accommodation & delayed migrant wages के लिए सहायता भेजी जाए तथा भविष्य के लिए आधुनिक डिजिटल मॉडल विकसित किया जाए।,Migration & Migrant Welfare,Unsafe Accommodation & Delayed Migrant Wages,Hybrid,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,450,Panchayat Level,Migration Department,Service Delivery,Govt Action + University R&D
SS02507,urgent govt inspection today for unsafe accommodation & delayed migrant wages n smart AI tech for future plzz,Migration & Migrant Welfare,Unsafe Accommodation & Delayed Migrant Wages,Hybrid,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,150,Block Level (BDO),Migration Department,Service Delivery,Govt Action + University R&D
SS02508,"Lack of Social Security Portability for Migrants in our village area is completely non-functional, urgent government action required.",Migration & Migrant Welfare,Lack of Social Security Portability for Migrants,Government,High,Persistent,No,None,3500,Panchayat Level,Migration Department,Service Delivery,Repair / Staff Posting
SS02509,"Pichle 15 din se lack of social security portability for migrants ka dikkat ho raha hai, authority field team ko bheje.",Migration & Migrant Welfare,Lack of Social Security Portability for Migrants,Government,High,Occasional,No,None,3500,Panchayat Level,Migration Department,Service Delivery,Repair / Staff Posting
SS02510,हमारे पंचायत में lack of social security portability for migrants से संबंधित समस्या पर कई हफ्तों से कोई संज्ञान नहीं लिया गया।,Migration & Migrant Welfare,Lack of Social Security Portability for Migrants,Government,Medium,Persistent,No,None,1200,State Department,Migration Department,Service Delivery,Repair / Staff Posting
SS02511,lack of social security portability for migrants issue in ward 3 officer not picking up calls,Migration & Migrant Welfare,Lack of Social Security Portability for Migrants,Government,Low,Occasional,No,None,1200,Panchayat Level,Migration Department,Service Delivery,Repair / Staff Posting
SS02512,gaov me lack of social security portability for migrants kharab h 2 mahine se koi sunne wala nahi h,Migration & Migrant Welfare,Lack of Social Security Portability for Migrants,Government,Medium,Occasional,No,None,8500,District Level (DC Office),Migration Department,Service Delivery,Repair / Staff Posting
SS02513,Block level grievance filed for lack of social security portability for migrants last month but service is pending.,Migration & Migrant Welfare,Lack of Social Security Portability for Migrants,Government,Low,One-time,No,None,8500,Panchayat Level,Migration Department,Service Delivery,Repair / Staff Posting
SS02514,Urgent maintenance team required for lack of social security portability for migrants near village center.,Migration & Migrant Welfare,Lack of Social Security Portability for Migrants,Government,High,One-time,No,None,150,District Level (DC Office),Migration Department,Service Delivery,Repair / Staff Posting
SS02515,Public facility for lack of social security portability for migrants has been completely unmaintained for 3 months.,Migration & Migrant Welfare,Lack of Social Security Portability for Migrants,Government,Low,Persistent,No,None,150,Block Level (BDO),Migration Department,Service Delivery,Repair / Staff Posting
SS02516,Gaon me lack of social security portability for migrants work left incomplete by local contractor.,Migration & Migrant Welfare,Lack of Social Security Portability for Migrants,Government,Medium,Occasional,No,None,8500,Panchayat Level,Migration Department,Service Delivery,Repair / Staff Posting
SS02517,"ग्राम पंचायत में lack of social security portability for migrants की स्थिति अत्यंत खराब है, अधिकारी संज्ञान लें।",Migration & Migrant Welfare,Lack of Social Security Portability for Migrants,Government,Medium,Persistent,No,None,150,Block Level (BDO),Migration Department,Service Delivery,Repair / Staff Posting
SS02518,We need an automated digital technology system for lack of social security portability for migrants (smart civic infrastructure & sensor analytics) to monitor continuously.,Migration & Migrant Welfare,Lack of Social Security Portability for Migrants,Innovation,Medium,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,8500,State Department,Migration Department,Service Delivery,University R&D
SS02519,Is lack of social security portability for migrants problem ko permanently solve karne ke liye low-cost IoT sensor prototype R&D chahiye.,Migration & Migrant Welfare,Lack of Social Security Portability for Migrants,Innovation,Medium,Occasional,Yes,Smart Civic Infrastructure & Sensor Analytics,450,Block Level (BDO),Migration Department,Service Delivery,University R&D
SS02520,नवीनतम तकनीक और एआई मॉडल के माध्यम से lack of social security portability for migrants का स्वचालित समाधान किया जाना चाहिए।,Migration & Migrant Welfare,Lack of Social Security Portability for Migrants,Innovation,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,8500,Block Level (BDO),Migration Department,Service Delivery,University R&D
SS02521,need AI and IoT smart technology solution for lack of social security portability for migrants,Migration & Migrant Welfare,Lack of Social Security Portability for Migrants,Innovation,Low,One-time,Yes,Smart Civic Infrastructure & Sensor Analytics,8500,Block Level (BDO),Migration Department,Service Delivery,University R&D
